"filename", "language", "JavaScript", "JSON", "PHP", "CSS", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\backup.php", "PHP", 0, 0, 84, 0, 0, 0, 0, 152, 46, 282
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\broadcasting.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 23, 13, 71
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\cache.php", "PHP", 0, 0, 58, 0, 0, 0, 0, 34, 19, 111
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\cors.php", "PHP", 0, 0, 3, 0, 0, 0, 0, 29, 3, 35
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\database.php", "PHP", 0, 0, 88, 0, 0, 0, 0, 48, 22, 158
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\excel.php", "PHP", 0, 0, 96, 0, 0, 0, 0, 211, 26, 333
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\filesystems.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 32, 13, 77
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\hashing.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 32, 9, 53
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\logging.php", "PHP", 0, 0, 70, 0, 0, 0, 0, 34, 19, 123
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\mail.php", "PHP", 0, 0, 53, 0, 0, 0, 0, 56, 19, 128
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\permission.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 91, 41, 162
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\queue.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 32, 15, 94
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\sanctum.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 41, 12, 68
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\services.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 11, 7, 35
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\session.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 147, 33, 202
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\view.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 20, 7, 37
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\factories\UserFactory.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 15, 5, 42
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 6, 5, 33
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 10, 4, 37
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 10, 4, 38
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_07_28_102445_create_datos_generals_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 11, 4, 38
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_092200_create_empleados_table.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 12, 5, 45
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_092428_create_proveedors_table.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 10, 5, 41
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_092624_create_productos_table.php", "PHP", 0, 0, 41, 0, 0, 0, 0, 12, 6, 59
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_092904_create_clientes_table.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 10, 4, 39
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_093021_create_cotizacions_table.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 13, 9, 69
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_093309_create_detalle_cotizacions_table.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 13, 8, 56
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_093650_create_ventas_table.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 11, 5, 49
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_08_29_093702_create_detalle_ventas_table.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 12, 8, 55
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_10_17_234619_create_permission_tables.php", "PHP", 0, 0, 108, 0, 0, 0, 0, 10, 24, 142
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\migrations\2022_12_19_205133_create_backups_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 5, 30
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 135, 0, 0, 0, 0, 201, 58, 394
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\en\auth.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 10, 5, 21
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\en\pagination.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 10, 5, 20
