Date : 2023-10-10 17:49:42
Directory : c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors
Total : 334 files,  937884 codes, 15860 comments, 6996 blanks, all 960740 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\PruebasController.php                                    | PHP        |        241 |         86 |         45 |        372 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\ReporteController.php                                    | PHP        |        241 |         80 |         46 |        367 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\RolController.php                                        | PHP        |         61 |         14 |         13 |         88 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\UbicacionController.php                                  | PHP        |        117 |         53 |         36 |        206 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\VentasController.php                                     | PHP        |      1,096 |        367 |        245 |      1,708 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Kernel.php                                                           | PHP        |         43 |         22 |          8 |         73 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Livewire\AutorellenoCliente.php                                      | PHP        |         41 |          5 |         16 |         62 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Livewire\BuscadorClienteWire.php                                     | PHP        |        119 |         10 |         29 |        158 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Livewire\BuscadorVentaWire.php                                       | PHP        |         18 |          1 |         12 |         31 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\Authenticate.php                                          | PHP        |         13 |          9 |          5 |         27 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\EncryptCookies.php                                        | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\PreventRequestsDuringMaintenance.php                      | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\RedirectIfAuthenticated.php                               | PHP        |         19 |          8 |          6 |         33 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\RolAdmin.php                                              | PHP        |         21 |         10 |          6 |         37 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\TrimStrings.php                                           | PHP        |         11 |          5 |          4 |         20 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\TrustHosts.php                                            | PHP        |         12 |          5 |          4 |         21 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\TrustProxies.php                                          | PHP        |         14 |         10 |          5 |         29 |
